@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute test-1 numeric
@attribute thickness-1 numeric

@data
122,'2021/04/01 19:19:01:089',4,0.9,1
123,'2021/04/01 19:19:01:105',4,0.88,1
124,'2021/04/01 19:19:01:122',4,0.88,1
125,'2021/04/01 19:19:01:141',4,0.88,1
126,'2021/04/01 19:19:01:171',4,0.88,1
127,'2021/04/01 19:19:01:189',4,0.87,1
128,'2021/04/01 19:19:01:205',4,0.87,1
129,'2021/04/01 19:19:01:222',4,0.87,1
130,'2021/04/01 19:19:01:240',4,0.87,1
131,'2021/04/01 19:19:01:272',4,0.87,1
132,'2021/04/01 19:19:01:289',4,0.87,1
133,'2021/04/01 19:19:01:305',4,0.87,1
134,'2021/04/01 19:19:01:322',4,0.88,1
135,'2021/04/01 19:19:01:338',4,0.88,1
136,'2021/04/01 19:19:01:355',4,0.88,1
137,'2021/04/01 19:19:01:372',4,0.88,1
138,'2021/04/01 19:19:01:388',4,0.88,1
139,'2021/04/01 19:19:01:405',4,0.89,1
140,'2021/04/01 19:19:01:421',4,0.91,1
141,'2021/04/01 19:19:01:438',4,0.92,1
142,'2021/04/01 19:19:01:455',4,0.92,1
143,'2021/04/01 19:19:01:472',4,0.93,1
144,'2021/04/01 19:19:01:488',4,0.94,1
145,'2021/04/01 19:19:01:542',4,0.94,1
146,'2021/04/01 19:19:01:548',4,0.97,1
147,'2021/04/01 19:19:08:939',5,0,0.12
148,'2021/04/01 19:19:08:955',5,0,0.12
149,'2021/04/01 19:19:09:055',5,0.01,0.12
150,'2021/04/01 19:19:09:071',5,0.01,0.12
151,'2021/04/01 19:19:09:089',5,0.01,0.12
152,'2021/04/01 19:19:09:105',5,0.01,0.12
153,'2021/04/01 19:19:09:123',5,0.01,0.12
154,'2021/04/01 19:19:09:138',5,0.01,0.12
155,'2021/04/01 19:19:09:155',5,0.01,0.12
156,'2021/04/01 19:19:09:172',5,0.01,0.12
157,'2021/04/01 19:19:09:188',5,0.01,0.12
158,'2021/04/01 19:19:09:205',5,0.02,0.12
159,'2021/04/01 19:19:09:222',5,0.02,0.12
160,'2021/04/01 19:19:09:242',5,0.02,0.12
161,'2021/04/01 19:19:09:255',5,0.02,0.12
162,'2021/04/01 19:19:09:271',5,0.01,0.12
163,'2021/04/01 19:19:09:288',5,0.01,0.12
164,'2021/04/01 19:19:09:305',5,0.01,0.12
165,'2021/04/01 19:19:09:321',5,0.01,0.12
166,'2021/04/01 19:19:09:338',5,0.01,0.12
167,'2021/04/01 19:19:09:354',5,0.01,0.12
168,'2021/04/01 19:19:09:372',5,0.01,0.12
169,'2021/04/01 19:19:09:422',5,0.01,0.12
170,'2021/04/01 19:19:09:438',5,0.01,0.12
171,'2021/04/01 19:19:09:456',5,0.02,0.12
